"Brand_encoded","age","Model_encoded","Car_Suv_encoded","UsedOrNew_encoded","Transmission_encoded","Kilometres_num","Cylinders","Engine_L","DriveType_encoded","FuelType_encoded","FuelConsumption_num","ColourExtInt_encoded","Location_encoded","BodyType_encoded","Doors_num","Seats_num","Brand_Model_encoded","Price"
34,3,388,101,2,1,5595,4,2.2,4,2,8.7,218,425,5,4,7,392,51990
22,3,119,5,0,1,16,4,1.5,0,4,6.7,272,305,0,5,5,122,19990
40,3,430,160,0,1,8472,4,2,2,4,6.6,410,497,9,2,4,435,108988
43,14,183,160,0,1,136517,8,5.5,2,4,11,183,142,9,2,4,186,32990
48,8,459,35,0,1,67662,4,2,4,2,5.1,218,399,5,2,4,464,62280
15,25,45,5,0,1,300539,4,1.6,0,1,8,72,1,0,5,5,45,2995
35,12,218,160,0,1,82012,4,2,2,4,7.1,202,282,9,2,4,221,24888
12,11,78,5,0,1,38229,4,1.3,0,5,4.5,157,134,0,5,5,79,17900
35,7,279,19,0,1,16324,4,2.7,2,1,9.8,142,134,1,4,2,282,41999
31,13,209,5,0,1,55676,4,1.4,0,4,6.2,218,163,0,5,5,212,14999
40,14,139,5,0,1,95204,4,2,2,2,5.4,133,163,0,5,5,142,13999
27,11,42,5,0,1,76289,3,1,0,1,5.4,218,126,0,5,5,42,12400
20,13,212,35,0,1,219681,4,2.4,4,1,7.5,272,399,5,4,7,215,13999
27,12,42,5,0,1,98079,4,1.6,0,1,6.1,219,399,0,5,5,42,11999
31,2,352,156,1,1,15,6,3,4,2,8.4,218,399,4,4,5,355,83887
12,7,78,5,0,1,43274,4,1.5,0,1,5.8,180,331,0,5,5,79,19900
20,7,53,5,0,1,36836,3,1.2,0,1,4.7,202,70,0,5,5,53,14995
35,20,223,20,0,1,115821,4,2.4,0,1,9.8,90,22,3,4,5,226,8499
27,10,81,35,0,1,173786,6,2.7,2,2,8.2,219,399,5,4,7,82,16999
15,7,210,35,0,1,114301,4,2,0,1,6.9,157,141,5,4,5,213,21950
31,12,209,5,0,0,69197,4,2,0,4,6.6,272,399,0,5,5,212,24880
