"Cylinders","Price","Brand_encoded","Model_encoded","Car_Suv_encoded","UsedOrNew_encoded","Transmission_encoded","DriveType_encoded","FuelType_encoded","ColourExtInt_encoded","Location_encoded","BodyType_encoded","Kilometres_num","age","Price_log"
4,19990,25,140,4,0,1,0,3,314,324,0,16,3,4.30083451916161
4,34990,26,368,28,0,1,0,1,247,326,5,1035,3,4.54395635426559
4,62280,50,483,28,0,1,4,2,240,420,5,67662,8,4.79435557709768
4,2995,20,52,4,0,1,0,1,88,0,0,300539,25,3.47654180902743
4,17900,15,88,4,0,1,0,4,170,142,0,38229,11,4.25287729256376
4,41999,39,306,12,0,1,2,1,159,142,2,16324,7,4.6232492903979
4,27995,39,306,12,0,1,2,2,159,142,2,229829,9,4.44709598484138
4,14999,33,237,4,0,1,0,3,240,160,0,55676,13,4.17609125905568
4,24985,42,374,28,0,1,3,2,314,182,5,82624,11,4.39769673563936
4,13999,42,160,4,0,1,2,2,148,160,0,95204,14,4.14612803567824
4,13999,22,241,28,0,1,4,1,314,420,5,219681,13,4.14612803567824
4,11999,29,49,4,0,1,0,1,228,420,0,98079,12,4.07918124604763
4,19900,15,88,4,0,1,0,1,198,326,0,43274,7,4.2988748997047
4,17990,18,251,28,0,1,4,3,219,557,5,105672,13,4.25505530355744
4,8499,39,248,13,0,1,0,1,98,20,3,115821,20,3.92941892571429
4,12990,17,59,13,0,1,0,1,198,185,3,189711,14,4.11364258277174
6,16999,29,93,28,0,1,2,2,228,420,5,173786,10,4.23044892137827
4,21950,20,240,28,0,1,0,1,170,143,5,114301,7,4.34145430975306
4,24880,33,237,4,0,0,0,3,314,420,0,69197,12,4.39586783123399
4,23888,17,258,28,0,1,0,1,211,277,5,94377,10,4.37819797044592
4,16999,29,141,4,0,1,0,1,240,420,0,94965,9,4.23044892137827
4,24490,20,198,28,0,1,0,1,211,420,5,99294,6,4.38900651830623
4,44878,39,210,4,0,1,0,4,219,420,0,13694,4,4.65204317134703
4,7949,39,171,13,0,1,0,1,148,20,3,264691,18,3.90036712865647
4,8800,39,210,4,0,0,0,1,211,140,0,238270,15,3.94453202099198
4,13990,38,99,28,0,1,3,1,219,127,5,140964,10,4.14584875659054
4,9999,39,306,12,0,1,2,1,159,160,2,266848,22,4
4,14999,41,311,13,0,1,0,3,170,420,3,141000,12,4.17609125905568
4,22750,22,277,30,0,1,3,2,207,182,4,240402,9,4.35700049044092
4,19999,45,346,4,0,1,0,3,207,160,0,117254,12,4.30102999566398
4,37990,23,283,28,0,1,4,1,314,160,5,10579,3,4.57968072521479
4,12990,39,210,4,0,1,0,1,155,97,0,167101,15,4.11364258277174
6,16999,29,126,13,0,1,2,1,228,420,3,163161,12,4.23044892137827
4,36990,34,327,4,0,0,0,3,314,344,0,13200,4,4.5680960720186
4,23880,15,250,28,0,1,3,1,193,420,5,103211,11,4.37805250861264
4,10990,39,210,13,0,1,0,1,148,97,3,177751,18,4.04103720786703
4,44900,39,306,89,0,1,2,1,198,246,6,119614,9,4.65225601337851
4,15880,17,189,4,0,1,0,1,176,420,0,125546,13,4.20087784574903
4,16995,23,165,13,0,1,0,1,247,97,3,163000,12,4.23034672241748
6,19880,39,336,28,0,1,0,1,228,420,5,132864,17,4.29843822531076
4,43999,17,298,28,0,1,4,2,240,357,5,71655,7,4.64345267648619
4,18888,42,374,28,0,1,3,2,219,420,5,109459,13,4.27620896660486
6,9998,45,55,28,0,1,3,2,148,160,5,212953,19,3.99995656838019
4,9990,22,89,13,0,1,0,1,155,97,3,163012,16,3.99960895897142
6,17999,38,166,28,0,1,3,1,187,112,5,85958,10,4.25527250510331
4,12990,33,334,28,0,1,4,3,219,142,5,118642,14,4.11364258277174
4,13990,22,191,28,0,1,0,1,170,238,5,187265,13,4.14584875659054
4,36800,17,258,28,0,1,0,1,207,140,5,19978,3,4.56585961999366
4,13999,23,150,13,0,1,0,1,127,20,3,86804,14,4.14612803567824
4,19888,17,183,7,0,1,2,2,97,126,1,183550,11,4.29861294775995
4,8995,39,171,4,0,1,0,1,217,126,0,191748,11,3.95404944676359
6,31900,39,336,28,0,1,0,1,247,160,5,139637,9,4.50380429709088
4,14995,22,89,13,0,1,0,1,247,97,3,165306,12,4.17597543174951
4,22990,18,201,28,0,1,4,1,247,335,5,104887,9,4.36155786144052
4,31990,32,193,4,0,1,0,3,188,420,0,72501,8,4.50502781581696
4,13990,17,135,4,0,1,0,1,98,185,0,111783,10,4.14584875659054
5,30990,23,323,30,0,1,2,2,159,182,4,97460,7,4.49123559003325
4,8499,23,150,13,0,1,0,1,219,11,3,178389,16,3.92941892571429
4,10995,17,135,4,0,1,0,1,170,97,0,188262,14,4.04123473117143
4,11669,23,54,28,0,1,4,1,300,410,5,152831,15,4.06707085604537
4,24950,38,163,28,0,1,0,3,247,557,5,69218,8,4.39708795620305
4,16990,23,165,13,0,1,0,1,207,146,3,124093,12,4.23021893988738
6,13995,21,274,7,0,1,0,1,207,97,1,98672,12,4.14600393381087
4,17995,22,89,13,0,1,0,1,247,97,3,61481,10,4.25517598449353
4,22990,18,159,4,0,1,4,1,211,127,0,61177,7,4.36155786144052
4,16999,23,150,4,0,1,0,1,92,217,0,132648,11,4.23044892137827
4,79988,42,431,28,0,1,4,1,211,532,5,31367,4,4.90303026739487
4,12800,23,54,28,0,1,4,1,155,384,5,174818,15,4.10724389757897
4,16990,42,268,4,0,1,2,3,240,118,0,57000,11,4.23021893988738
6,17950,18,147,13,0,1,4,3,207,80,3,226127,9,4.25408864691907
4,33888,39,309,28,0,0,0,3,188,420,5,58185,6,4.53005875382146
4,39990,18,200,28,0,1,4,1,148,233,5,16136,4,4.60196226407481
4,23950,23,223,28,0,1,4,1,207,242,5,31531,10,4.37932365075332
6,41950,38,274,28,0,1,3,2,240,557,5,76472,7,4.62274231771074
4,21999,17,189,4,0,1,0,1,198,357,0,62719,7,4.34242268082221
4,27990,20,198,28,0,1,0,1,211,233,5,52035,5,4.44701841424766
4,8950,15,129,13,0,1,0,1,219,18,3,146445,15,3.95187155712836
4,37880,15,250,28,0,1,0,1,247,420,5,35214,5,4.57842143518735
4,7950,13,46,4,0,0,0,1,155,94,0,163000,11,3.90042175345774
6,24990,38,274,28,0,1,2,3,247,558,5,69001,12,4.39778363450951
4,14999,39,361,28,0,1,3,1,98,20,5,106718,18,4.17609125905568
6,22999,13,175,13,0,1,2,1,173,420,3,59689,9,4.36172783601759
4,19999,23,165,13,0,1,0,1,240,357,3,105767,12,4.30102999566398
4,30999,33,207,12,0,1,0,3,207,420,2,87293,7,4.49136169383427
4,15990,15,202,13,0,1,0,1,148,97,3,154347,12,4.20387562327733
4,32888,38,279,28,0,1,0,1,240,344,5,20827,4,4.51705066882822
4,10995,39,171,4,0,1,0,1,207,97,0,147626,15,4.04123473117143
6,29990,38,274,28,0,1,3,2,247,326,5,114424,11,4.47699094682793
4,13950,23,150,4,0,0,0,1,155,410,0,153020,16,4.14460533871474
5,36999,29,348,30,0,1,3,2,170,160,4,98700,9,4.56820172406699
4,13990,33,237,4,0,1,0,3,248,118,0,126532,12,4.14584875659054
4,16990,22,89,4,0,1,0,1,247,324,0,73421,12,4.23021893988738
4,10995,39,248,13,0,1,0,1,240,97,3,155135,16,4.04123473117143
4,12990,17,135,4,0,1,0,1,247,324,0,123330,12,4.11364258277174
4,18990,22,89,4,0,1,0,1,198,478,0,44249,11,4.27854783377585
4,23999,23,127,4,0,1,0,1,118,527,0,27100,7,4.38021124171161
4,14995,23,150,4,0,1,0,1,207,97,0,70661,16,4.17597543174951
4,18995,22,277,30,0,1,3,2,207,75,4,215100,11,4.27866216090998
4,14990,33,237,4,0,1,0,3,314,326,0,155036,11,4.17583060416225
6,29950,42,356,4,0,1,2,3,294,551,0,67678,13,4.47641132713374
6,22999,13,175,7,0,1,2,1,240,357,1,133934,10,4.36172783601759
4,14990,33,237,4,0,1,0,3,148,118,0,174915,17,4.17583060416225
4,7888,13,46,13,0,1,0,1,148,233,3,117000,11,3.89702195606036
4,27990,17,183,7,0,1,2,2,127,118,1,190176,7,4.44701841424766
4,19800,22,277,30,0,0,3,2,207,140,4,231675,12,4.2966871237724
4,67988,42,470,13,0,1,2,3,219,532,3,23332,4,4.83243865350422
4,21880,33,237,7,0,1,0,3,240,420,1,130647,7,4.34006716613295
4,41888,44,375,28,0,1,0,3,240,568,5,47307,6,4.62209999273969
4,29990,18,251,28,0,1,4,3,198,335,5,74983,9,4.47699094682793
4,7920,23,165,4,0,0,0,3,124,46,0,102496,18,3.89878001328983
4,14999,17,90,4,0,1,0,1,198,357,0,84924,10,4.17609125905568
6,38950,50,483,28,0,1,3,2,240,557,5,159558,12,4.59051861191634
